6	0
4	1
4	2
23	3
8	4
7	5
11	6
8	7
25	8
16	9
15	10
18	11
25	12
13	13
9	14
5	15
3	16
5	17
3	18
5	19
10	20
5	21
7	22
9	23
9	24
5	25
9	26
9	27
3	28
4	29
20	30
11	31
5	32
9	33
5	34
10	35
5	36
7	37
7	38
8	39
18	40
8	41
6	42
5	43
5	44
6	45
4	46
18	47
4	48
8	49
3	50
6	51
5	52
5	53
6	54
4	55
4	56
5	57
13	58
5	59
6	60
4	61
6	62
4	63
9	64
7	65
21	66
6	67
4	68
5	69
7	70
15	71
22	72
21	73
16	74
16	75
13	76
7	77
5	78
8	79
4	80
4	81
9	82
8	83
23	84
5	85
14	86
5	87
5	88
6	89
5	90
8	91
3	92
7	93
7	94
4	95
6	96
6	97
5	98
12	99
12	100
5	101
4	102
2	103
3	104
